"Character","Creator","Alignment","Alter_Egos","Eye_color","Hair_color","Species","IQ","Intelligence","Strength","Combat","Durability"
"Psi","DC Comics","Bad","None","Blue","Black","Human",110,55,1,20,5
"Psimon","DC Comics","Bad","None","Black","No Hair","Human",130,65,1,25,5
"Psycho Mantis","Konami","Bad","None","Blue","Red","Human",200,100,75,50,80
"Psykos","Shueisha","Bad","None","Green","Green","Human",160,80,100,30,50
"Psylocke","Marvel Comics","Neutral","None","Brown","Black","Human",120,60,5,80,20
"Psyphon (Power Of Dwarf Star)","Cartoon Network","Bad","None","Red","No Hair","Alien",130,65,100,70,50
"Puck","Disney","Neutral","None","Black","White","None",150,75,30,60,65
"Punchline","DC Comics","Bad","None","Green","Black","Human",110,55,1,50,5
"Punisher","Marvel Comics","Good","Cosmic Ghost Phoenix Rider,Franken-Castle,Old Man Castle,Old Man Punisher","Blue","Black","Human",130,65,8,95,15
"Puppet Master","Marvel Comics","Bad","None","Brown","No Hair","Human",130,65,1,20,5
"Pureblood","Shueisha","Bad","None","Red","White","Vampire",120,60,30,80,25
"Puri-Puri Prisoner","Shueisha","Good","None","Blue","Black","Human",110,55,55,50,30
"Purple Guy","None","Bad","Springtrap",NA,NA,"Human-Inhuman",150,75,13,55,10
"Purple Man","Marvel Comics","Bad","None","Purple","Purple","Human",120,60,1,35,10
"Purson","None","None","None","None","None","None",110,55,15,25,15
"Pyke","Riot Games","Neutral","Pyke",NA,NA,"Human",120,60,13,80,15
"Pyke (Sentinel of Light)","Riot Games","Neutral","Pyke",NA,NA,"Human",120,60,13,80,20
"Pyra","Nintendo","Good","Mythra,Pneuma","Red","Pink","None",170,85,25,80,40
"Pyro","Marvel Comics","Bad","None","Blue","Blond","None",110,55,5,40,20
"Pyron","Shueisha","None","None","None","None","None",180,90,100,80,100
"Pyrus Helios","Sega","Good","Cyborg Helios,Helios MK2,Infinity Helios","Red","No Hair","Alien",140,70,100,60,60
"Q","Gene Roddenberry","Neutral","None","None","None","God / Eternal",200,100,100,50,100
"Qing Mao","None","Good","None","Gold","White","None",120,60,25,100,30
"Qiyana","Riot Games","Bad","None","Yellow","Silver","Human",155,80,1,65,20
"Quake","Marvel Comics","Good","None","Brown","Black","Human-Inhuman",140,70,25,90,30
"Quan Chi","Mortal Kombat","None","None","None","None","None",170,85,25,80,30
"Quantum (Space Stone)","Marvel Comics",NA,"None","No eyes","No Hair","Human",100,50,1,25,7
"Quanxi","Shueisha","Good","None","Blue","White","Demon",120,60,25,60,20
"Quasar","Marvel Comics","Good","None","Blue","Blond","Human",150,75,100,80,100
"Quattro","Shueisha","Neutral","None","Purple","Blond","Human",160,80,1,80,1
"Queen Atlanna","DC Comics","Good","None",NA,"Blond","Atlantean",140,70,30,75,30
"Queen Bean","Matt Groening","None","None","None","None","None",100,50,5,45,10
"Queen Bee","Disney","Good","Queen Wasp","Blue","Blond","Human",90,45,8,45,20
"Queen Cat","Marvel Comics",NA,"None","Brown","Black","Human",110,55,1,25,10
"Queen Dagmar","Matt Groening","Bad","None",NA,NA,"Human",130,65,1,30,10
"Queen Hippolyta","DC Comics","Good","None",NA,"Blond","Amazon",170,85,30,100,30
"Queen Maeve","Dynamite Entertainment","Neutral","None","Blue","Red","None",110,55,25,90,25
"Queen Metroid (Queen Metroid)","Nintendo","Bad","None","Red","No Hair","Alien",110,55,95,55,100
"Queen Nehellenia","Kodansha","Bad","None",NA,NA,"None",160,80,100,85,100
"Queen Oasis","Tui T. Sutherland","Good","None",NA,"No Hair","None",120,60,90,90,45
"Queen Of Blood","DC Comics",NA,"None","Red","Red","Vampire",140,70,30,60,30
"Queen Of Curses","Shueisha","Good","None",NA,NA,"Spirit",110,55,25,30,35
"Queen Oona","Matt Groening","None","None","None","None","None",110,55,5,40,10
"Queen Sarai","None","Good","None",NA,"Brown / Black","Human",120,60,1,70,10
"Queen Scarlet","Tui T. Sutherland","Bad","None",NA,"No Hair","None",145,75,80,70,40
"Queen Scorpion","Tui T. Sutherland","Neutral","None",NA,"No Hair","None",110,55,80,80,40
"Queen Sectonia","Nintendo","Bad","None","Purple","No Hair","Alien",90,45,55,50,55
"Queen Sheba","Sega","Neutral","None","White","Purple","Demon",150,75,100,100,100
"Queen Wasp","Tui T. Sutherland","Bad","None",NA,"No Hair","None",110,55,90,80,45
"Queen Wasp (Akumatized Queen Bee)","Disney","Bad","Queen Bee","Blue",NA,"Human",90,45,9,55,35
"Queen Zeal","Square Enix","None","None","None","None","None",180,90,100,85,100
"Question","DC Comics","Good","None","Blue","Blond","Human",140,70,1,80,10
"Quetzalcoatl","IDW Publishing","Neutral","None","Yellow",NA,"Kaiju",85,45,75,20,20
"Qui-Gon Jinn","George Lucas","Good","None","Blue","Brown","Human",180,90,25,90,60
"Qui-Gon Jinn (Force Ghost)","George Lucas","Good","None","Blue","Brown","None",180,90,25,90,55
"Quicksilver","Marvel Comics","Good","None","Blue","Silver","Mutant",135,70,25,60,30
"Quicksilver (Possessed By Chthon)","Marvel Comics","Bad","None","Red","Silver","God / Eternal",200,100,100,60,100
"Quiet","Konami","Bad","None","Green","Brown","Human",140,70,25,85,25
"Quilby","Netflix","Bad","None","Blue","Black / Blue","Demi-God",140,70,30,70,50
"Quinn","Riot Games","Good","None","Green","Black","Human",120,60,1,70,10
"Quint","None","None","None","None","None","None",160,80,1,15,7
"Quintessa","Hasbro","Bad","None","Blue","Silver","God / Eternal",180,90,40,80,25
"Quinton","Shueisha","None","None","None","None","None",160,80,1,80,30
"Quitela","Shueisha","Neutral","None","Black","No Hair","God / Eternal",160,80,100,100,100
"Quoggoth","Marvel Comics","Bad","None","Green",NA,"God / Eternal",200,100,100,65,100
"Quyagen","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Ra","None","Good","None","None","None","God / Eternal",190,95,75,60,55
"Ra's Al Ghul","DC Comics","Neutral","None","Blue","Brown / White","Human",150,75,5,90,10
"Ra.One","None","Bad","None","Red","No Hair","Android",150,75,30,70,20
"Rabanra","Shueisha",NA,"None","Blue","No Hair","None",110,55,85,100,75
"Rabbit","Shueisha","Good","None","Red","Blue","None",130,65,25,60,20
"Rachel Alucard","None","None","None","None","None","None",190,95,100,90,100
"Radagast The Brown","J. R. R. Tolkien","None","None","None","None","None",150,75,13,50,25
"Radiant","DC Comics","Neutral","None","None","None","None",200,100,100,50,100
"Radioactive Man","Marvel Comics","Good","None","Brown","No Hair","Human",160,80,65,45,70
"Raditz","Shueisha","Bad","None","Black","Black","Saiyan",130,65,70,85,55
"Rafael Waithe","Team Epic TV","Good","None","Brown","Black","Human",120,60,13,40,15
"Rage","Marvel Comics","Good","None","Brown","None","Human",100,50,45,50,20
"Ragman","DC Comics","Good","None","Blue","Brown","Human",140,70,5,80,35
"Ragna The Bloodedge","None","None","None","None","None","None",200,100,100,100,100
"Ragnar","None","None","None","None","None","None",140,70,5,75,10
"Ragnarok","Cartoon Network","Bad","None","Yellow","White","None",150,75,75,90,85
"Raguel","DC Comics","Good","None",NA,NA,"None",200,100,100,100,100
"Ragyo Kiryuin","Kadokawa","Bad","None","Red","White","Human",150,75,30,35,30
"Raichu","Nintendo","Neutral","None","Black","Orange","Pok�mon",90,45,19,60,35
"Raiden","Konami","Good","None","Blue","Blond","Human",150,75,60,95,35
"Raiden Shogun","None","Good","None","Purple","Purple","God / Eternal",120,60,35,90,55
"Raijin","Universal Studios","Bad","None",NA,NA,"Kaiju",100,50,75,40,35
"Raiju","Universal Studios","Bad","None",NA,NA,"Kaiju",90,45,75,35,30
"Rain","Mortal Kombat","None","None","None","None","None",120,60,25,100,35
"Rainbow Raider","DC Comics","Bad","None","Grey","Black","None",90,45,1,50,25
"Raizen","Shueisha","None","None","None","None","None",160,80,90,100,90
"Rajang","Capcom","None","None","None","None","None",90,45,30,70,35
"Rakan","Riot Games","Good","None",NA,NA,"None",110,55,10,60,15
"Rakdos","Hasbro","Neutral","None","Yellow","No Hair","Demon",140,70,65,70,55
"Ral Zarek (Post-Mending)","Hasbro","Neutral","None",NA,"Black","Human",170,85,1,25,20
"Rallen (Spectrobe Master)","Disney","Good","None","Orange","Orange","Human",200,100,1,100,25
"Ralph The Wolf","Warner Brothers","Bad","None",NA,"Brown","Animal",110,55,50,55,30
"Rama Khan","DC Comics","Neutral","None","Brown","Black","None",150,75,25,65,25
"Rama Kushna","DC Comics","Good","None","Black","Black","God / Eternal",200,100,100,20,100
"Rambo","None","Good","None","Brown","Black","Human",130,65,1,100,15
"Ramessu","None","None","None","None","None","None",200,100,100,100,100
"Rammus","Riot Games","Good","None","Orange","No Hair","Demi-God",100,50,30,45,30
"Rampart","None","Good","None","Brown","Brown","Human",165,85,8,60,40
"Ramrod 2","None","Good","None",NA,NA,"Robot",110,55,55,85,55
"Ran Haitani","Kodansha",NA,"None",NA,NA,"None",126,65,1,45,5
"Ranamon","Shueisha","Bad","Calmaramon",NA,NA,"None",120,60,40,45,35
"Randall Flagg","Stephen King","Bad","None","None","None","None",140,70,25,40,8
"Randolph Carter","H.P. Lovecraft","None","None","None","None","None",200,100,100,100,100
"Ranger (EDF5)","None","Good","Air Raider,Fencer,Wing Diver",NA,NA,"Human",100,50,1,70,15
"Rangiku Matsumoto","Shueisha","Good","None","Blue","Orange","Spirit",130,65,5,70,25
"Ranjiro Kiyama","None","Good","None","Hazel","Blond","None",100,50,5,60,6
"Ranma Saotome","Shogakukan","Good","None","Blue",NA,"Human",110,55,100,90,20
"Rantaro Kiyama","None","Good","None","Brown","Blond","None",120,60,5,70,6
"Rao","DC Comics","None","None","None","None","None",180,90,100,100,100
"Raoh","Shueisha",NA,"Raoh",NA,NA,"None",180,90,85,100,70
"Raoh (Musou Tensi)","Shueisha","None","Raoh","None","None","None",180,90,90,100,75
"Raphael","IDW Publishing","Good","None","None","No Hair","Mutant",110,55,25,80,30
"Ravager IV","DC Comics","Good","None","Blue","White","Human",160,80,20,90,20
"Raven","DC Comics","None","White Raven","None","None","None",140,70,1,30,50
"Raven (Fully Powered)","DC Comics","Neutral","None","Indigo","Black","Demon",190,95,95,100,90
"Raven (Unkindness)","DC Comics",NA,"None",NA,NA,"None",190,95,100,100,100
"Ravnos Antediluvian","None","None","None","None","None","None",200,100,100,100,100
"Ray","DC Comics","Good","None","Green","Red","Human",140,70,25,40,35
"Ray The Flying Squirrel","Sega","Good","None",NA,NA,"Animal",100,50,25,50,40
"Ray Thompson","DC Comics","None","None","None","None","None",199,100,95,75,100
"Rayla","None","Good","None","Violet","White","Elf",100,50,5,55,10
"Raymond Reddington","Universal Studios","None","None","Green","Brown","Human",180,90,1,80,6
"Rayquaza","Nintendo","Neutral","Mega Rayquaza","Yellow","No Hair","None",200,100,100,100,100
"Rayzeel","None","None","None","None","None","None",200,100,100,90,100
"Raze","Marvel Comics","Bad","None","Amber","Red","Human",145,75,25,40,35
"Raze (Klyntar Symbiote)","Marvel Comics","Neutral","None","Yellow","No Hair","Alien",100,50,25,70,50
"Razor Fist","Marvel Comics","Neutral","None",NA,NA,"Human",120,60,5,70,10
"Re-Destro","Shueisha","Bad","None","Black","Orange","Human",110,55,100,50,20
"Reanimen","Skybound","Neutral","None","Red","No Hair","Human",40,20,80,65,40
"Reaper","Activision Blizzard","Bad","None","Brown","Brown / Black","Human",130,65,13,80,25
"Rebekah Mikaelson","Team Epic TV","Neutral","None","Blue","Blond","Vampire",140,70,25,60,20
"Reborn Laura","Microsoft","Bad","None","Blue / White","Black","Human",67,35,25,70,40
"Recca Hanabishi","Shogakukan","Good","None","Green / Blue","Black","None",90,45,25,100,40
"Red","None","Bad","None","Black","No Hair","Kaiju",173,85,100,13,100
"Red Arrow","DC Comics","Good","Arsenal,Black Lantern","Green","Red","Human",140,70,5,80,10
"Red Death","DC Comics","Bad","B-Rex,Barbatos,Batmage,Batman,Batman The Silenced,Batman Who Frags,Batmobeast,Castle Bat,Darkfather,Dawnbreaker,Devastator,Dr Manhattan,Final Bruce Wayne,Grim Knight,Merciless,Mindhunter,Murder Machine,Robin King,The Batman Who Laughs,The Broken,The Darkest Knight","Blue","Black","None",180,90,25,100,60
"Red Guardian","Marvel Comics","Neutral","None","Blue","Red","Human",130,65,13,80,15
"Red Harpy","Marvel Comics","Neutral","Red She-Hulk,World Breaker Red She-Hulk","Red","Black","None",140,70,100,70,100
"Red Hood","DC Comics","Bad","Robin","Brown","Black","Human",140,70,6,90,10
"Red Hulk","Marvel Comics","Neutral","Thunderbolt Ross","Yellow","Black","Human",169,85,100,75,100
"Red Inferno","None","Neutral","None",NA,NA,"Android",130,65,25,30,30
"Red King","None","Bad","None",NA,NA,"Kaiju",60,30,75,40,35
"Red Lantern","DC Comics","None","Black Lantern,Green Lantern,Green/Blue Lantern,Orange Lantern,Parallax,Parallax,Spectre,Spectre,White Lantern,Yellow Lantern","Brown","Brown","Human",150,75,100,65,100
"Red Mystic Ranger","Power Rangers",NA,"None",NA,NA,"Altered",130,65,100,100,100
"Red Norvell","Marvel Comics","Neutral","None","Blue","Red","None",140,70,100,80,100
"Red Phoenix","Dreamworks","Good","None","Green",NA,"Animal",90,45,25,65,25
"Red Robin","DC Comics","Good","None","Blue","Black","Human",170,85,5,85,10
"Red She-Hulk","Marvel Comics","Good","Red Harpy,World Breaker Red She-Hulk","Yellow","Black","Human",140,70,100,70,100
"Red Shift","Marvel Comics","Neutral","None","White",NA,"Alien",120,60,100,75,100
"Red Skull","Marvel Comics","Bad","None","Blue","No Hair","Human",170,85,25,70,15
"Red Skull (Cosmic Cube)","Marvel Comics","Bad","None","Blue","No Hair","Human",200,100,100,100,100
"Red Skull (Stonekeeper)","Marvel Comics","Bad","Red Skull","Blue","No Hair","Human",150,75,25,70,20
"Red Sonja","Dynamite Entertainment","None","None","Brown","Red","Human",120,60,25,85,20
"Red Tool","DC Comics","Neutral","None",NA,NA,"Human",130,65,10,90,15
"Red Tornado","DC Comics","Good","None","Green","No Hair","Android",190,95,85,40,75
"Red Torpedo","DC Comics","Neutral","None",NA,NA,"Android",120,60,25,30,35
"Red Volcano","DC Comics","Bad","None",NA,NA,"Android",140,70,30,30,35
"Red X","DC Comics","Neutral","None",NA,NA,"None",160,80,10,95,20
"Red XIII","Square Enix","Good","None","Yellow","Black","Animal",110,55,90,70,75
"Reddick (EVO Form)","Cartoon Network","Bad","None","White","No Hair","Human",110,55,45,40,35
"Redroot The Forest","Marvel Comics","Neutral","None","Yellow","Green","Mutant",100,50,1,40,30
"Reed Richards","Marvel Comics","Good","None","Brown","Brown","Human",190,95,25,65,60
"Reeve","None","None","None","None","None","None",110,55,25,30,10
"Regent","Marvel Comics","Neutral","None","Red","No Hair","None",160,80,75,70,60
"Reggie","None","None","None","None","None","None",100,50,5,45,5
"Reginald Kastle","Shueisha","Bad","None","Red","Blue","Human",160,80,55,90,30
"Reginn","Wildstorm","None","None","None","None","None",80,40,60,50,75
"Regulus Corneas","None",NA,"None",NA,"White","None",110,55,95,80,100
"Rei","Capcom","Good","None",NA,NA,"None",100,50,1,45,20
"Reign","DC Comics","Bad","None","Brown","Brown","Kryptonian",159,80,100,80,65
"Reiko","Mortal Kombat","Bad","None","White","Black","Human",140,70,90,80,30
"Reiko Yanagi","Shueisha","Good","None","Blue","Grey","Human",110,55,1,45,5
"Reimu","None","Neutral","None","Orange","Black","None",160,80,30,90,100
"Reindog","Warner Brothers","None","None","None","None","None",90,45,1,20,15
"Reiner Braun","Kodansha","Neutral","None","Hazel","Blond","Human",150,75,10,75,15
"Reinhard Heydrich (Dies Irae)","None","Neutral","None","Gold","Gold","God / Eternal",200,100,100,100,100
"Reinhard Van Astrea","None","Good","None","Blue","Red","Human",130,65,100,100,75
"Rek'Sai","Riot Games","Bad","None","No eyes","No Hair","None",70,35,65,60,30
"Rekka Hoshimiya","Kodansha","Bad","None","Red","Red","Human",110,55,25,55,20
"Relius Clover","None","None","None","None","None","None",190,95,100,100,100
"Rell","Riot Games","Good","None","Orange","Yellow","Human",120,60,30,60,25
"Rem","Shueisha","Neutral","None","Orange","White","God / Eternal",140,70,5,30,30
"Remiel","DC Comics","Good","None","Black","Black","God / Eternal",156,80,25,95,40
"Remus Lupin","J. K. Rowling","Good","None","Brown","Brown","Human",140,70,1,55,10
"Ren","George Lucas","Bad","None","Blue","Grey","None",140,70,30,65,25
"Ren Fuji","None","Good","None","Blue","Blue","God / Eternal",200,100,100,100,100
"Ren Suzugamori","Shueisha","Good","None","Red","Red","Human",170,85,1,80,40
"Rena Rouge","Disney","Good","Lady Wifi","Green","Auburn","Human",131,65,1,18,20
"Renamon","Shueisha","Good","Kyubimon,Sakuyamon,Taomon","Blue","Yellow","Animal",125,65,1,45,25
"Renata","Riot Games","Bad","None","Pink","Black","Human",140,70,1,15,10
"Renekton","Riot Games","Bad","None","Orange","No Hair","Demi-God",140,70,75,90,55
"Rengar","Riot Games","Neutral","Rengar","Blue","Silver","None",125,65,25,75,15
"Rengar (Sentinel of Light)","Riot Games","Good","Rengar","Black","Silver","None",125,65,25,75,15
"Renji Abarai","None","None","None","None","None","None",130,65,30,95,30
"Renji Yomo","Shueisha","Good","None","Grey","White","None",130,65,25,70,30
"Reptile","Mortal Kombat","None","None","None","None","None",115,60,25,85,15
"Rescue","Marvel Comics","Good","None","Green","Red","None",110,55,30,10,45
"Resurrection Man","DC Comics","Neutral","None",NA,"White","Human",180,90,50,95,100
"Retsu Kaioh","None","Good","None","Brown","Black","Human",140,70,13,95,25
"Retsu Unohana","Shueisha","Bad","None","Blue","Black","Spirit",150,75,100,100,40
"Rev-9","Dark Horse Comics","Bad","None","None","None","Android",155,80,25,80,15
"Revali","Nintendo","Good","None","Black","Grey","None",110,55,55,90,40
